Instelling;fgrfunctie;fte_count;year;quarter;salaryscale
Algemene Zaken;geen FGR;29.302;2013;1;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1677.498;2013;1;0
Buitenlandse Zaken;geen FGR;2588.873;2013;1;0
Economische Zaken;geen FGR;297.342;2013;1;0
Financien;geen FGR;27214.458;2013;1;0
Hoge Colleges van Staat;geen FGR;1628.173;2013;1;0
Infrastructuur en Milieu;geen FGR;146.885;2013;1;0
Onderwijs, Cultuur en Wetenschap;geen FGR;110.347;2013;1;0
Sociale Zaken en Werkgelegenheid;geen FGR;63.15;2013;1;0
Veiligheid en Justitie;geen FGR;6581.809;2013;1;0
Volksgezondheid, Welzijn en Sport;geen FGR;119.435;2013;1;0
Economische Zaken en Klimaat;geen FGR;0;2013;1;0
Infrastructuur en Waterstaat;geen FGR;0;2013;1;0
Justitie en Veiligheid;geen FGR;0;2013;1;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2013;1;0
Algemene Zaken;geen FGR;28.904;2013;2;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1648.468;2013;2;0
Buitenlandse Zaken;geen FGR;2588.282;2013;2;0
Economische Zaken;geen FGR;261.849;2013;2;0
Financien;geen FGR;27275.862;2013;2;0
Hoge Colleges van Staat;geen FGR;1641.153;2013;2;0
Infrastructuur en Milieu;geen FGR;118.901;2013;2;0
Onderwijs, Cultuur en Wetenschap;geen FGR;103.68;2013;2;0
Sociale Zaken en Werkgelegenheid;geen FGR;63.43;2013;2;0
Veiligheid en Justitie;geen FGR;6588.612;2013;2;0
Volksgezondheid, Welzijn en Sport;geen FGR;120.102;2013;2;0
Economische Zaken en Klimaat;geen FGR;0;2013;2;0
Infrastructuur en Waterstaat;geen FGR;0;2013;2;0
Justitie en Veiligheid;geen FGR;0;2013;2;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2013;2;0
Algemene Zaken;geen FGR;27.46;2013;3;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1635.527;2013;3;0
Buitenlandse Zaken;geen FGR;2551.713;2013;3;0
Economische Zaken;geen FGR;269.95;2013;3;0
Financien;geen FGR;27653.572;2013;3;0
Hoge Colleges van Staat;geen FGR;1620.955;2013;3;0
Infrastructuur en Milieu;geen FGR;157.616;2013;3;0
Onderwijs, Cultuur en Wetenschap;geen FGR;103.342;2013;3;0
Sociale Zaken en Werkgelegenheid;geen FGR;67.862;2013;3;0
Veiligheid en Justitie;geen FGR;6538.576;2013;3;0
Volksgezondheid, Welzijn en Sport;geen FGR;116.857;2013;3;0
Economische Zaken en Klimaat;geen FGR;0;2013;3;0
Infrastructuur en Waterstaat;geen FGR;0;2013;3;0
Justitie en Veiligheid;geen FGR;0;2013;3;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2013;3;0
Algemene Zaken;geen FGR;26.544;2013;4;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1611.395;2013;4;0
Buitenlandse Zaken;geen FGR;2551.958;2013;4;0
Economische Zaken;geen FGR;243.38;2013;4;0
Financien;geen FGR;27888.33;2013;4;0
Hoge Colleges van Staat;geen FGR;1472.188;2013;4;0
Infrastructuur en Milieu;geen FGR;160.824;2013;4;0
Onderwijs, Cultuur en Wetenschap;geen FGR;99.863;2013;4;0
Sociale Zaken en Werkgelegenheid;geen FGR;63.612;2013;4;0
Veiligheid en Justitie;geen FGR;6465.407;2013;4;0
Volksgezondheid, Welzijn en Sport;geen FGR;141.025;2013;4;0
Economische Zaken en Klimaat;geen FGR;0;2013;4;0
Infrastructuur en Waterstaat;geen FGR;0;2013;4;0
Justitie en Veiligheid;geen FGR;0;2013;4;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2013;4;0
Algemene Zaken;geen FGR;25.788;2014;1;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1595.309;2014;1;0
Buitenlandse Zaken;geen FGR;340.878;2014;1;0
Economische Zaken;geen FGR;254.141;2014;1;0
Financien;geen FGR;27886.238;2014;1;0
Hoge Colleges van Staat;geen FGR;1498.347;2014;1;0
Infrastructuur en Milieu;geen FGR;143.13;2014;1;0
Onderwijs, Cultuur en Wetenschap;geen FGR;95.046;2014;1;0
Sociale Zaken en Werkgelegenheid;geen FGR;62.114;2014;1;0
Veiligheid en Justitie;geen FGR;6526.349;2014;1;0
Volksgezondheid, Welzijn en Sport;geen FGR;140.605;2014;1;0
Economische Zaken en Klimaat;geen FGR;0;2014;1;0
Infrastructuur en Waterstaat;geen FGR;0;2014;1;0
Justitie en Veiligheid;geen FGR;0;2014;1;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2014;1;0
Algemene Zaken;geen FGR;25.344;2014;2;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1569.311;2014;2;0
Buitenlandse Zaken;geen FGR;361.56;2014;2;0
Economische Zaken;geen FGR;252.929;2014;2;0
Financien;geen FGR;28041.701;2014;2;0
Hoge Colleges van Staat;geen FGR;1479.434;2014;2;0
Infrastructuur en Milieu;geen FGR;139.374;2014;2;0
Onderwijs, Cultuur en Wetenschap;geen FGR;97.391;2014;2;0
Sociale Zaken en Werkgelegenheid;geen FGR;59.003;2014;2;0
Veiligheid en Justitie;geen FGR;6504.478;2014;2;0
Volksgezondheid, Welzijn en Sport;geen FGR;141.75;2014;2;0
Economische Zaken en Klimaat;geen FGR;0;2014;2;0
Infrastructuur en Waterstaat;geen FGR;0;2014;2;0
Justitie en Veiligheid;geen FGR;0;2014;2;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2014;2;0
Algemene Zaken;geen FGR;24.744;2014;3;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1551.221;2014;3;0
Buitenlandse Zaken;geen FGR;336.902;2014;3;0
Economische Zaken;geen FGR;254.139;2014;3;0
Financien;geen FGR;28520.562;2014;3;0
Hoge Colleges van Staat;geen FGR;1469.405;2014;3;0
Infrastructuur en Milieu;geen FGR;120.89;2014;3;0
Onderwijs, Cultuur en Wetenschap;geen FGR;110.761;2014;3;0
Sociale Zaken en Werkgelegenheid;geen FGR;55.946;2014;3;0
Veiligheid en Justitie;geen FGR;6534.942;2014;3;0
Volksgezondheid, Welzijn en Sport;geen FGR;93.954;2014;3;0
Economische Zaken en Klimaat;geen FGR;0;2014;3;0
Infrastructuur en Waterstaat;geen FGR;0;2014;3;0
Justitie en Veiligheid;geen FGR;0;2014;3;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2014;3;0
Algemene Zaken;geen FGR;26.744;2014;4;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1613.278;2014;4;0
Buitenlandse Zaken;geen FGR;350.646;2014;4;0
Economische Zaken;geen FGR;249.5;2014;4;0
Financien;geen FGR;27480.483;2014;4;0
Hoge Colleges van Staat;geen FGR;1440.921;2014;4;0
Infrastructuur en Milieu;geen FGR;138.851;2014;4;0
Onderwijs, Cultuur en Wetenschap;geen FGR;111.339;2014;4;0
Sociale Zaken en Werkgelegenheid;geen FGR;60.335;2014;4;0
Veiligheid en Justitie;geen FGR;6541.898;2014;4;0
Volksgezondheid, Welzijn en Sport;geen FGR;89.849;2014;4;0
Economische Zaken en Klimaat;geen FGR;0;2014;4;0
Infrastructuur en Waterstaat;geen FGR;0;2014;4;0
Justitie en Veiligheid;geen FGR;0;2014;4;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2014;4;0
Algemene Zaken;geen FGR;4.925;2015;1;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1568.551;2015;1;0
Buitenlandse Zaken;geen FGR;354.717;2015;1;0
Economische Zaken;geen FGR;194.654;2015;1;0
Financien;geen FGR;24364.797;2015;1;0
Hoge Colleges van Staat;geen FGR;1439.434;2015;1;0
Infrastructuur en Milieu;geen FGR;101.523;2015;1;0
Onderwijs, Cultuur en Wetenschap;geen FGR;105.225;2015;1;0
Sociale Zaken en Werkgelegenheid;geen FGR;52.53;2015;1;0
Veiligheid en Justitie;geen FGR;6469.449;2015;1;0
Volksgezondheid, Welzijn en Sport;geen FGR;83.678;2015;1;0
Economische Zaken en Klimaat;geen FGR;0;2015;1;0
Infrastructuur en Waterstaat;geen FGR;0;2015;1;0
Justitie en Veiligheid;geen FGR;0;2015;1;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2015;1;0
Algemene Zaken;geen FGR;2.925;2015;2;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1553.912;2015;2;0
Buitenlandse Zaken;geen FGR;380.479;2015;2;0
Economische Zaken;geen FGR;193.675;2015;2;0
Financien;geen FGR;24058.451;2015;2;0
Hoge Colleges van Staat;geen FGR;1438.56;2015;2;0
Infrastructuur en Milieu;geen FGR;94.689;2015;2;0
Onderwijs, Cultuur en Wetenschap;geen FGR;103.008;2015;2;0
Sociale Zaken en Werkgelegenheid;geen FGR;51.363;2015;2;0
Veiligheid en Justitie;geen FGR;4248.642;2015;2;0
Volksgezondheid, Welzijn en Sport;geen FGR;79.545;2015;2;0
Economische Zaken en Klimaat;geen FGR;0;2015;2;0
Infrastructuur en Waterstaat;geen FGR;0;2015;2;0
Justitie en Veiligheid;geen FGR;0;2015;2;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2015;2;0
Algemene Zaken;geen FGR;3.814;2015;3;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1603.041;2015;3;0
Buitenlandse Zaken;geen FGR;367.358;2015;3;0
Economische Zaken;geen FGR;233.153;2015;3;0
Financien;geen FGR;23943.099;2015;3;0
Hoge Colleges van Staat;geen FGR;1428.15;2015;3;0
Infrastructuur en Milieu;geen FGR;164.912;2015;3;0
Onderwijs, Cultuur en Wetenschap;geen FGR;123.047;2015;3;0
Sociale Zaken en Werkgelegenheid;geen FGR;48.14;2015;3;0
Veiligheid en Justitie;geen FGR;4231.136;2015;3;0
Volksgezondheid, Welzijn en Sport;geen FGR;75.184;2015;3;0
Economische Zaken en Klimaat;geen FGR;0;2015;3;0
Infrastructuur en Waterstaat;geen FGR;0;2015;3;0
Justitie en Veiligheid;geen FGR;0;2015;3;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2015;3;0
Algemene Zaken;geen FGR;4.592;2015;4;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1653.166;2015;4;0
Buitenlandse Zaken;geen FGR;341.258;2015;4;0
Economische Zaken;geen FGR;217.057;2015;4;0
Financien;geen FGR;23764.662;2015;4;0
Hoge Colleges van Staat;geen FGR;1412.955;2015;4;0
Infrastructuur en Milieu;geen FGR;153.634;2015;4;0
Onderwijs, Cultuur en Wetenschap;geen FGR;112.521;2015;4;0
Sociale Zaken en Werkgelegenheid;geen FGR;54.919;2015;4;0
Veiligheid en Justitie;geen FGR;4107.657;2015;4;0
Volksgezondheid, Welzijn en Sport;geen FGR;70.601;2015;4;0
Economische Zaken en Klimaat;geen FGR;0;2015;4;0
Infrastructuur en Waterstaat;geen FGR;0;2015;4;0
Justitie en Veiligheid;geen FGR;0;2015;4;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2015;4;0
Algemene Zaken;geen FGR;2.528;2016;1;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1668.218;2016;1;0
Buitenlandse Zaken;geen FGR;368.857;2016;1;0
Economische Zaken;geen FGR;187.42;2016;1;0
Financien;geen FGR;22336.915;2016;1;0
Hoge Colleges van Staat;geen FGR;1398.223;2016;1;0
Infrastructuur en Milieu;geen FGR;110.73;2016;1;0
Onderwijs, Cultuur en Wetenschap;geen FGR;104.942;2016;1;0
Sociale Zaken en Werkgelegenheid;geen FGR;82.96;2016;1;0
Veiligheid en Justitie;geen FGR;3836.997;2016;1;0
Volksgezondheid, Welzijn en Sport;geen FGR;59.212;2016;1;0
Economische Zaken en Klimaat;geen FGR;0;2016;1;0
Infrastructuur en Waterstaat;geen FGR;0;2016;1;0
Justitie en Veiligheid;geen FGR;0;2016;1;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2016;1;0
Algemene Zaken;geen FGR;2.528;2016;2;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1660.766;2016;2;0
Buitenlandse Zaken;geen FGR;337.989;2016;2;0
Economische Zaken;geen FGR;179.675;2016;2;0
Financien;geen FGR;20207.165;2016;2;0
Hoge Colleges van Staat;geen FGR;1366.986;2016;2;0
Infrastructuur en Milieu;geen FGR;98.022;2016;2;0
Onderwijs, Cultuur en Wetenschap;geen FGR;105.978;2016;2;0
Sociale Zaken en Werkgelegenheid;geen FGR;245.887;2016;2;0
Veiligheid en Justitie;geen FGR;3831.794;2016;2;0
Volksgezondheid, Welzijn en Sport;geen FGR;59.601;2016;2;0
Economische Zaken en Klimaat;geen FGR;0;2016;2;0
Infrastructuur en Waterstaat;geen FGR;0;2016;2;0
Justitie en Veiligheid;geen FGR;0;2016;2;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2016;2;0
Algemene Zaken;geen FGR;2.528;2016;3;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1721.479;2016;3;0
Buitenlandse Zaken;geen FGR;341.869;2016;3;0
Economische Zaken;geen FGR;179.877;2016;3;0
Financien;geen FGR;19324.949;2016;3;0
Hoge Colleges van Staat;geen FGR;1347.472;2016;3;0
Infrastructuur en Milieu;geen FGR;117.633;2016;3;0
Onderwijs, Cultuur en Wetenschap;geen FGR;108.699;2016;3;0
Sociale Zaken en Werkgelegenheid;geen FGR;275.568;2016;3;0
Veiligheid en Justitie;geen FGR;3790.494;2016;3;0
Volksgezondheid, Welzijn en Sport;geen FGR;67.212;2016;3;0
Economische Zaken en Klimaat;geen FGR;0;2016;3;0
Infrastructuur en Waterstaat;geen FGR;0;2016;3;0
Justitie en Veiligheid;geen FGR;0;2016;3;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2016;3;0
Algemene Zaken;geen FGR;2.556;2016;4;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1771.526;2016;4;0
Buitenlandse Zaken;geen FGR;329.263;2016;4;0
Economische Zaken;geen FGR;170.96;2016;4;0
Financien;geen FGR;19128.654;2016;4;0
Hoge Colleges van Staat;geen FGR;1348.812;2016;4;0
Infrastructuur en Milieu;geen FGR;111.633;2016;4;0
Onderwijs, Cultuur en Wetenschap;geen FGR;108.835;2016;4;0
Sociale Zaken en Werkgelegenheid;geen FGR;281.187;2016;4;0
Veiligheid en Justitie;geen FGR;3819.258;2016;4;0
Volksgezondheid, Welzijn en Sport;geen FGR;66.517;2016;4;0
Economische Zaken en Klimaat;geen FGR;0;2016;4;0
Infrastructuur en Waterstaat;geen FGR;0;2016;4;0
Justitie en Veiligheid;geen FGR;0;2016;4;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2016;4;0
Algemene Zaken;geen FGR;2.667;2017;1;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1770.309;2017;1;0
Buitenlandse Zaken;geen FGR;326.711;2017;1;0
Economische Zaken;geen FGR;168.127;2017;1;0
Financien;geen FGR;18918.235;2017;1;0
Hoge Colleges van Staat;geen FGR;1317.861;2017;1;0
Infrastructuur en Milieu;geen FGR;92.861;2017;1;0
Onderwijs, Cultuur en Wetenschap;geen FGR;99.269;2017;1;0
Sociale Zaken en Werkgelegenheid;geen FGR;341.845;2017;1;0
Veiligheid en Justitie;geen FGR;3794.74;2017;1;0
Volksgezondheid, Welzijn en Sport;geen FGR;59.295;2017;1;0
Economische Zaken en Klimaat;geen FGR;0;2017;1;0
Infrastructuur en Waterstaat;geen FGR;0;2017;1;0
Justitie en Veiligheid;geen FGR;0;2017;1;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2017;1;0
Algemene Zaken;geen FGR;1.778;2017;2;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1861.414;2017;2;0
Buitenlandse Zaken;geen FGR;316.174;2017;2;0
Economische Zaken;geen FGR;152.518;2017;2;0
Financien;geen FGR;18692.09;2017;2;0
Hoge Colleges van Staat;geen FGR;1298.374;2017;2;0
Infrastructuur en Milieu;geen FGR;101.945;2017;2;0
Onderwijs, Cultuur en Wetenschap;geen FGR;93.09;2017;2;0
Sociale Zaken en Werkgelegenheid;geen FGR;346.178;2017;2;0
Veiligheid en Justitie;geen FGR;3803.958;2017;2;0
Volksgezondheid, Welzijn en Sport;geen FGR;54.884;2017;2;0
Economische Zaken en Klimaat;geen FGR;0;2017;2;0
Infrastructuur en Waterstaat;geen FGR;0;2017;2;0
Justitie en Veiligheid;geen FGR;0;2017;2;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2017;2;0
Algemene Zaken;geen FGR;1.778;2017;3;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1946.374;2017;3;0
Buitenlandse Zaken;geen FGR;295.064;2017;3;0
Economische Zaken;geen FGR;164.018;2017;3;0
Financien;geen FGR;18618.059;2017;3;0
Hoge Colleges van Staat;geen FGR;1086.359;2017;3;0
Infrastructuur en Milieu;geen FGR;130;2017;3;0
Onderwijs, Cultuur en Wetenschap;geen FGR;98.935;2017;3;0
Sociale Zaken en Werkgelegenheid;geen FGR;369.766;2017;3;0
Veiligheid en Justitie;geen FGR;3812.97;2017;3;0
Volksgezondheid, Welzijn en Sport;geen FGR;72.084;2017;3;0
Economische Zaken en Klimaat;geen FGR;0;2017;3;0
Infrastructuur en Waterstaat;geen FGR;0;2017;3;0
Justitie en Veiligheid;geen FGR;0;2017;3;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2017;3;0
Algemene Zaken;geen FGR;1.778;2017;4;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1986.32;2017;4;0
Buitenlandse Zaken;geen FGR;282.718;2017;4;0
Economische Zaken;geen FGR;157.574;2017;4;0
Financien;geen FGR;18394.02;2017;4;0
Hoge Colleges van Staat;geen FGR;1104.024;2017;4;0
Infrastructuur en Milieu;geen FGR;125.889;2017;4;0
Onderwijs, Cultuur en Wetenschap;geen FGR;98.521;2017;4;0
Sociale Zaken en Werkgelegenheid;geen FGR;391.953;2017;4;0
Veiligheid en Justitie;geen FGR;3826.211;2017;4;0
Volksgezondheid, Welzijn en Sport;geen FGR;71.084;2017;4;0
Economische Zaken en Klimaat;geen FGR;0;2017;4;0
Infrastructuur en Waterstaat;geen FGR;0;2017;4;0
Justitie en Veiligheid;geen FGR;0;2017;4;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2017;4;0
Algemene Zaken;geen FGR;1;2018;1;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1920.542;2018;1;0
Buitenlandse Zaken;geen FGR;270.298;2018;1;0
Economische Zaken;geen FGR;0;2018;1;0
Financien;geen FGR;18183.848;2018;1;0
Hoge Colleges van Staat;geen FGR;1089.698;2018;1;0
Infrastructuur en Milieu;geen FGR;0;2018;1;0
Onderwijs, Cultuur en Wetenschap;geen FGR;106.616;2018;1;0
Sociale Zaken en Werkgelegenheid;geen FGR;419.67;2018;1;0
Veiligheid en Justitie;geen FGR;0;2018;1;0
Volksgezondheid, Welzijn en Sport;geen FGR;73.556;2018;1;0
Economische Zaken en Klimaat;geen FGR;158.579;2018;1;0
Infrastructuur en Waterstaat;geen FGR;121.444;2018;1;0
Justitie en Veiligheid;geen FGR;3850.166;2018;1;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2018;1;0
Algemene Zaken;geen FGR;1;2018;2;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1940.538;2018;2;0
Buitenlandse Zaken;geen FGR;275.665;2018;2;0
Economische Zaken;geen FGR;0;2018;2;0
Financien;geen FGR;18069.455;2018;2;0
Hoge Colleges van Staat;geen FGR;1112.675;2018;2;0
Infrastructuur en Milieu;geen FGR;0;2018;2;0
Onderwijs, Cultuur en Wetenschap;geen FGR;94.212;2018;2;0
Sociale Zaken en Werkgelegenheid;geen FGR;435.976;2018;2;0
Veiligheid en Justitie;geen FGR;0;2018;2;0
Volksgezondheid, Welzijn en Sport;geen FGR;63.111;2018;2;0
Economische Zaken en Klimaat;geen FGR;148.22;2018;2;0
Infrastructuur en Waterstaat;geen FGR;114.555;2018;2;0
Justitie en Veiligheid;geen FGR;3862.422;2018;2;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2018;2;0
Algemene Zaken;geen FGR;2;2018;3;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1936.781;2018;3;0
Buitenlandse Zaken;geen FGR;273.189;2018;3;0
Economische Zaken;geen FGR;0;2018;3;0
Financien;geen FGR;17951.905;2018;3;0
Hoge Colleges van Staat;geen FGR;1131.219;2018;3;0
Infrastructuur en Milieu;geen FGR;0;2018;3;0
Onderwijs, Cultuur en Wetenschap;geen FGR;110.175;2018;3;0
Sociale Zaken en Werkgelegenheid;geen FGR;438.842;2018;3;0
Veiligheid en Justitie;geen FGR;0;2018;3;0
Volksgezondheid, Welzijn en Sport;geen FGR;66.417;2018;3;0
Economische Zaken en Klimaat;geen FGR;148.53;2018;3;0
Infrastructuur en Waterstaat;geen FGR;109.654;2018;3;0
Justitie en Veiligheid;geen FGR;3856.761;2018;3;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2018;3;0
Algemene Zaken;geen FGR;3.133;2018;4;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1928.78;2018;4;0
Buitenlandse Zaken;geen FGR;251.991;2018;4;0
Economische Zaken;geen FGR;0;2018;4;0
Financien;geen FGR;18406.443;2018;4;0
Hoge Colleges van Staat;geen FGR;1123.965;2018;4;0
Infrastructuur en Milieu;geen FGR;0;2018;4;0
Onderwijs, Cultuur en Wetenschap;geen FGR;107.372;2018;4;0
Sociale Zaken en Werkgelegenheid;geen FGR;529.242;2018;4;0
Veiligheid en Justitie;geen FGR;0;2018;4;0
Volksgezondheid, Welzijn en Sport;geen FGR;60.389;2018;4;0
Economische Zaken en Klimaat;geen FGR;146.602;2018;4;0
Infrastructuur en Waterstaat;geen FGR;103.277;2018;4;0
Justitie en Veiligheid;geen FGR;3850.982;2018;4;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2018;4;0
Algemene Zaken;geen FGR;2.133;2019;1;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1995.537;2019;1;0
Buitenlandse Zaken;geen FGR;242.602;2019;1;0
Economische Zaken;geen FGR;0;2019;1;0
Financien;geen FGR;19124.088;2019;1;0
Hoge Colleges van Staat;geen FGR;1121.279;2019;1;0
Infrastructuur en Milieu;geen FGR;0;2019;1;0
Onderwijs, Cultuur en Wetenschap;geen FGR;106.409;2019;1;0
Sociale Zaken en Werkgelegenheid;geen FGR;553.088;2019;1;0
Veiligheid en Justitie;geen FGR;0;2019;1;0
Volksgezondheid, Welzijn en Sport;geen FGR;55.861;2019;1;0
Economische Zaken en Klimaat;geen FGR;120.623;2019;1;0
Infrastructuur en Waterstaat;geen FGR;91.055;2019;1;0
Justitie en Veiligheid;geen FGR;3814.486;2019;1;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;7.723;2019;1;0
Algemene Zaken;(Senior) Adviseur;17.028;2013;1;11
Algemene Zaken;(Senior) Adviseur;38.817;2013;1;12
Algemene Zaken;(Senior) Adviseur;22.596;2013;1;13
Algemene Zaken;Adviseur Bedrijfsvoering;14.38;2013;1;8
Algemene Zaken;Adviseur Bedrijfsvoering;4.167;2013;1;9
Algemene Zaken;Adviseur Bedrijfsvoering;13.444;2013;1;10
Algemene Zaken;Adviseur Bedrijfsvoering;3.75;2013;1;11
Algemene Zaken;Commissiesecretaris;1;2013;1;13
Algemene Zaken;Managementondersteuner;0;2013;1;5
Algemene Zaken;Managementondersteuner;6.278;2013;1;6
Algemene Zaken;Managementondersteuner;17.642;2013;1;7
Algemene Zaken;Managementondersteuner;1.4;2013;1;8
Algemene Zaken;Managementondersteuner;4.111;2013;1;9
Algemene Zaken;Managementondersteuner;2;2013;1;10
Algemene Zaken;Medewerker Administratie;0;2013;1;7
Algemene Zaken;Medewerker Administratie;2.777;2013;1;8
Algemene Zaken;Medewerker Advisering;0.889;2013;1;9
Algemene Zaken;Medewerker Advisering;0;2013;1;10
Algemene Zaken;Medewerker Communicatie;0.889;2013;1;6
Algemene Zaken;Medewerker Communicatie;0.8;2013;1;8
Algemene Zaken;Medewerker Vervoer;3;2013;1;4
Algemene Zaken;Middenmanager;0;2013;1;12
Algemene Zaken;Middenmanager;8.944;2013;1;13
Algemene Zaken;Middenmanager;5.761;2013;1;14
Algemene Zaken;Middenmanager;3;2013;1;15
Algemene Zaken;Onderzoeksmedewerker;1;2013;1;10
Algemene Zaken;Operationeel Manager;1;2013;1;8
Algemene Zaken;Operationeel Manager;1;2013;1;9
Algemene Zaken;Operationeel Manager;1.889;2013;1;10
Algemene Zaken;Operationeel Manager;1;2013;1;11
Algemene Zaken;Operationeel Manager;1;2013;1;12
Algemene Zaken;Project-/Programmamanager;0;2013;1;12
Algemene Zaken;Project-/Programmamanager;1;2013;1;14
Algemene Zaken;Project-/Programmamanager;1;2013;1;15
Algemene Zaken;Projectleider;0;2013;1;11
Algemene Zaken;Projectleider;2;2013;1;12
Algemene Zaken;Projectleider;3.944;2013;1;13
Algemene Zaken;Senior Adviseur Bedrijfsvoerin;5.056;2013;1;11
Algemene Zaken;Senior Adviseur Bedrijfsvoerin;11.889;2013;1;12
Algemene Zaken;Senior Adviseur Bedrijfsvoerin;0;2013;1;13
Algemene Zaken;Strategisch Adviseur;1.111;2013;1;15
Algemene Zaken;Strategisch Adviseur;7;2013;1;16
Algemene Zaken;Topmanager;2;2013;1;15
Algemene Zaken;Topmanager;3.056;2013;1;16
Algemene Zaken;Topmanager;2.056;2013;1;17
Algemene Zaken;Topmanager;2;2013;1;18
Algemene Zaken;Wetenschappelijk Medewerker;15.167;2013;1;12
Binnenlandse Zaken en Koninkrijksrelaties;(Inrichtings)beveiliger;0;2013;1;4
Binnenlandse Zaken en Koninkrijksrelaties;(Inrichtings)beveiliger;0;2013;1;5
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Adviseur;111.082;2013;1;11
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Adviseur;173.039;2013;1;12
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Adviseur;40.252;2013;1;13
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker;124.132;2013;1;11
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker;134.203;2013;1;12
Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker;25.729;2013;1;13
Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering;44.303;2013;1;8
Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering;261.926;2013;1;9
Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering;271.056;2013;1;10
Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering;164.065;2013;1;11
Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner;6.167;2013;1;8
Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner;11.195;2013;1;9
Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner;12.222;2013;1;10
Binnenlandse Zaken en Koninkrijksrelaties;Beleidsondersteuner;0;2013;1;11
Binnenlandse Zaken en Koninkrijksrelaties;Commissiesecretaris;13.522;2013;1;9
Binnenlandse Zaken en Koninkrijksrelaties;Commissiesecretaris;2.8;2013;1;10
