"22";"Algemene Zaken";"DPC";"Middenmanager schaal 13";5,944;5,944;5,944;5,944;5,944;6,944;6,944;6,944;6,944;6,944;6,944;6,944;6,944;5,944;5,944;5,944;7,944;7,944;7,944;7,944;6,889;6,889;5,889;NA;NA
"23";"Algemene Zaken";"DPC";"Middenmanager schaal 14";3,705;3,705;3,705;3,705;3,705;3,705;3,705;3,705;3,705;3,705;3,705;3,705;2,733;2,733;3,733;3,733;3,761;3,761;3,761;3,761;4,761;3,9;4,9;NA;NA
"24";"Algemene Zaken";"DPC";"Middenmanager schaal 15";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;NA;NA
"25";"Algemene Zaken";"DPC";"Project-/Programmamanager S12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,611;3,611;2,722
"26";"Algemene Zaken";"DPC";"Project-/Programmamanager S13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;2
"27";"Algemene Zaken";"DPC";"Projectleider schaal 11";NA;NA;NA;NA;NA;NA;NA;NA;0,889;1,778;1,778;1,778;1,778;3,667;2,778;2,778;1,889;1,889;1,889;1,889;NA;NA;NA;NA;NA
"28";"Algemene Zaken";"DPC";"Projectleider schaal 12";1;1;1;1;1;1;1;1;1,833;1,833;1,833;1,833;1,833;NA;NA;NA;0,889;0,889;0,889;0,889;1,778;3,611;NA;NA;NA
"29";"Algemene Zaken";"DPC";"Projectleider schaal 13";3,944;3,944;3,944;3,944;3,944;3,833;3,833;3,833;3,889;3,889;3,889;2,889;2,889;3,889;3,889;3,889;3,889;3,889;3,889;3,889;3,889;3,889;NA;NA;NA
"30";"Algemene Zaken";"DPC";"Senior Adviseur Bedrijfsvoering schaal11";NA;NA;NA;NA;1;1;1;NA;0,667;0,667;0,667;0,667;0,667;0,833;0,833;0,833;0,833;0,833;0,833;0,833;1,611;1,611;1,611;1,611;4,305
"31";"Algemene Zaken";"DPC";"Senior Adviseur Bedrijfsvoering schaal12";1,889;1,889;1,889;1,889;3,833;3,833;3,833;3,833;3,833;3,833;3,611;3,555;3,777;4,444;4,444;4,444;3,444;3,444;3,444;3,444;3,444;2,444;1,5;1,5;3,444
"32";"Algemene Zaken";"DPC";"Senior Medew. Behandelen en Ontwikk. S11";1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,922;1,922;1,922;1,922;1,322;1,322;1,833;1,833;NA;NA;NA;NA;NA
"33";"Algemene Zaken";"DPC";"Senior Medew. Behandelen en Ontwikk. S12";1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;NA;NA;NA;NA;1;1;1;1;NA
"34";"Algemene Zaken";"DPC";"Senior Medew. Behandelen en Ontwikk. S13";NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"35";"Algemene Zaken";"DPC";"Topmanager S16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
"36";"Algemene Zaken";"DPC";"Topmanager schaal 16";2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
"37";"Algemene Zaken";"kern";"(Senior) Adviseur schaal 11";5;5;5;6;6;6;6;6;6;7;7;7;5;5;5;6;6;5;7;7;6;7,666;7,666;6,666;7,611
"38";"Algemene Zaken";"kern";"(Senior) Adviseur schaal 12";15,317;14,317;14,317;14,317;14,317;14,317;14,317;15,317;15,317;15,317;15,317;16,317;13,628;14,628;14,628;15,628;14,628;14,739;13,739;13,739;13,739;13,739;12,739;12,961;12,961
"39";"Algemene Zaken";"kern";"(Senior) Adviseur schaal 13";6,522;7,572;7,572;7,572;7,572;5,572;5,572;4,572;4,572;4,572;4,572;4,572;4,572;4,572;4,572;4,422;4,422;5,422;6,422;6,422;6,422;6,422;6,478;7,478;8,478
"40";"Algemene Zaken";"kern";"Adviseur Bedrijfsvoering schaal 08";14,38;14,38;14,78;14,836;13,836;13,836;14,436;14,436;15,811;14,922;14,922;14,922;14,1;13,739;12,739;13,983;14,872;14,983;14,65;13,85;14,072;14,183;12,739;14,195;15,973
"41";"Algemene Zaken";"kern";"Adviseur Bedrijfsvoering schaal 09";4,167;4,167;4,167;4,167;4,167;3,167;3,167;4,167;4,167;4,167;4,167;4,278;5,389;5,389;5,389;4,611;4,611;4,611;5,611;5,611;5,611;5,611;7,472;6,472;6,472
"42";"Algemene Zaken";"kern";"Adviseur Bedrijfsvoering schaal 10";9,166;9,055;11,055;11,444;11,388;10,444;9,611;9,611;10,722;10,722;10,722;10,722;8,889;8,889;9,445;10,223;10,167;9,334;9,334;9,334;8,334;8,445;8,445;7,445;8,251
"43";"Algemene Zaken";"kern";"Adviseur Bedrijfsvoering schaal 11";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3,861;3,861;3,861;4,861
"44";"Algemene Zaken";"kern";"Coördinerend/Special. Adviseur Bedrv S13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;2;2
"45";"Algemene Zaken";"kern";"Coördinerend/Special. Adviseur Bedrv S14";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"46";"Algemene Zaken";"kern";"Coördinerend/Specialistisch Adviseur S13";3,778;3,778;3,778;3,778;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;2;1;1
"47";"Algemene Zaken";"kern";"Coördinerend/Specialistisch Adviseur S14";2,056;2,056;2,056;2,056;2,834;3,834;3,834;3,834;3,834;3,834;3,89;4,946;4,946;4,946;4,946;4,946;4,946;4,946;4,168;4,112;4,112;3,056;3,028;4,028;3,056
"48";"Algemene Zaken";"kern";"geen FGR";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1
"49";"Algemene Zaken";"kern";"Managementondersteuner schaal 05";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,889;0,889;0,889
"50";"Algemene Zaken";"kern";"Managementondersteuner schaal 06";3,5;3,5;3,5;3,5;3,5;3,889;3,889;2,889;2,806;2,806;1,806;1,806;1,806;1,806;1,806;1,806;1,806;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5
"51";"Algemene Zaken";"kern";"Managementondersteuner schaal 07";14,009;14,009;14,009;14,009;11,342;11,342;10,067;10,067;10,622;10,539;9,558;9,558;9,572;9,572;9,544;9,544;10,669;9,697;9,697;8,697;9,867;9,867;10,228;8,283;10,005
"52";"Algemene Zaken";"kern";"Managementondersteuner schaal 08";1,4;1,4;1,4;1,4;3,067;3,067;3,936;3,036;3,036;3,036;1,953;1,953;1,953;2,953;2,953;2,953;1,953;2,258;2,258;2,258;2,258;2,258;1,647;1,592;1,592
"53";"Algemene Zaken";"kern";"Managementondersteuner schaal 09";4,111;4,111;4,111;4,111;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;1;1
"54";"Algemene Zaken";"kern";"Managementondersteuner schaal 10";2;2;2;2;3,111;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"55";"Algemene Zaken";"kern";"Manager S12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
"56";"Algemene Zaken";"kern";"Manager S13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2
"57";"Algemene Zaken";"kern";"Manager S14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3
"58";"Algemene Zaken";"kern";"Manager S15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
"59";"Algemene Zaken";"kern";"Medewerker Administratie schaal 07";NA;NA;NA;NA;NA;NA;NA;NA;NA;0,889;0,889;0,889;0,889;0,889;0,889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"60";"Algemene Zaken";"kern";"Medewerker Advisering schaal 09";0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
